Sec/S.No.,TYPE 1 GNSZ,TYPE 2 FNSZ,TYPE 3 ABSZ,TYPE 4 CPSZ,TYPE 5 TCSZ,TYPE 6 TNSZ
,IMF5,IMF5,IMF5,IMF5,IMF5,IMF5
1,6.53996182061956,7.3375844889640005,6.817931934267884,7.817762669505762,3.1617140432228434,0.2975950142034028
2,6.377664272061733,6.918756346888695,8.456016358804677,7.899854841463413,3.070829134645025,0.11897637180675949
3,6.176706112461911,6.241281992249637,8.770676857030443,7.939036662339631,2.9838643360493147,-0.11499303350656821
4,5.939339529544543,5.571825085594474,8.258876932081828,8.077430930544836,2.7828696060575897,-0.4970497102930629
5,5.58240278331845,4.957118281317421,6.883921922378098,8.413101860922668,2.553962151918078,-0.8434800273549895
6,5.211223575342656,4.350715262452258,1.9374664406109565,8.860860924251632,2.2798145096066698,-1.1445037270978213
7,4.785711797185294,3.744765611181424,4.390874534035796,9.040204517271166,1.9113241712885076,-1.3387784940223226
8,4.258472317018093,3.0989554037882816,5.439428263876305,8.511333795118102,1.572316527454947,-1.4171651618400636
9,3.754344017101019,2.471959951559724,5.336101835124783,7.146730444476485,1.1647599333937126,-1.4087152892115737
10,3.395300950231073,1.9567315420590248,4.0407651806409834,5.058185864059665,0.6445411121562651,-1.3180804032825992
11,3.039332761420158,1.6246636406665749,3.5099761458414354,2.622423520968599,0.08212572622197367,-1.1242153563657544
12,2.6550780283394566,1.4994626002752274,5.335460056064215,0.2987493108286652,-0.5762697480948914,-1.0231687620069239
13,2.2669957430638346,1.3892107597705161,5.398543162547148,-1.7191596195067251,-1.33975691777977,-0.8643227251562386
14,1.8722794229625632,1.3114104944387097,2.530470292576204,-3.502261457333985,-2.0856950938838104,-0.7491480208863392
15,1.4465926043084827,1.289768157172662,1.5318998260411454,-5.084796753395785,-2.9240688854627694,-0.581866572113317
16,1.128952449595797,1.276954557269831,2.673851285049085,-6.4204620651090645,-3.70138720486339,-0.336429826820995
17,0.7750614080126128,1.2760716835335095,4.140542948704657,-7.355974806424972,-4.441758246889646,0.04193936989659233
18,0.399103594476391,1.2506473060726784,5.690137366301896,-7.851327461196931,-5.24339665893111,0.453341639702052
19,0.051298127495802905,1.196887453966388,1.6379066261632744,-8.048862153141545,-6.115963056005114,0.8600538204786923
20,-0.18738125914695677,1.1166175283181141,0.997675385682077,-8.082006077353268,-6.780551726190519,1.181794891902784
21,-0.34824347563168756,1.0115436229696677,0.7417187956436032,-7.978690956649693,-7.329251543047361,1.4597923272153277
22,-0.41443795680757717,0.9453161620193753,1.1711822422922324,-7.681131023594334,-7.520075176869292,1.7016428173818101
23,-0.4407057006818699,0.9141531052724533,1.1097602110248872,-7.000267864252353,-7.685480701986595,1.8446351000538854
24,-0.4695990520069477,0.9086291790573596,-0.7781272749108132,-5.768704664047212,-7.89335247995676,1.7939744261660207
25,-0.4457877097699439,0.932490631390378,-2.257654519777756,-3.996569091529397,-7.86055647384109,1.4062443323323313
26,-0.3957961439070069,1.0090501012008675,-2.1403222068220655,-2.0105397395229954,-7.647483567147734,0.5083694468479953
27,-0.3509390992811596,1.0869577430681723,-0.9489160084409096,-0.29222917744165955,-7.233772304097392,-0.9280799785829551
28,-0.26504089285793836,1.1598067570408774,-2.019743246854087,0.8109642111999716,-6.5518272747283035,-2.8465047400793297
29,-0.23255921135012203,1.2280624414394765,-2.2398734646290652,1.2972471194865889,-5.991588657481866,-5.23750055840657
30,-0.2112976256819917,1.2144972057881553,-3.3806546206442025,1.2528918016820314,-5.481377193176631,-7.659842367437214
31,-0.17202437290147912,1.1496417783470116,-2.6654862369142847,0.9116732312064806,-4.55419894450913,-9.73614429847205
32,-0.14965419742079542,1.0268388139151325,-1.085765955179774,0.5878716703400495,-3.6058020169949843,-11.069151472558227
33,-0.14554658043112367,0.8668239145699114,1.6127262359633252,0.30265846187426765,-2.5735128095197553,-11.431136689204944
34,-0.06234983234059821,0.6685352456825286,2.055629291174442,-0.1163560848553503,-1.5397403171864297,-10.831229474229861
35,0.0274926199420237,0.40385208567852243,1.6009099509069762,-0.7461293493439138,-0.5295848019443309,-9.4859596213263
36,0.09748547989671455,0.12300279171889632,-3.0699958036196326,-1.4148006019595114,0.2876762597064184,-7.559142830026045
37,0.13102323906806887,-0.19532091312973535,-3.504668986171696,-1.7787128908813146,1.3671994213641012,-5.3649041998461655
38,0.14537072511580015,-0.5509639294272076,-0.6401070251791516,5.729411877973956e-17,2.3349850009519164,-3.1148279629757982
39,0.19773117236766707,-0.8841771805316426,0.16030471847803676,5.729411877973956e-17,3.1992488555085323,-1.037335433801066
40,0.2938459091160521,-1.2581815843993729,1.6136700286994545,5.729411877973956e-17,3.806702163497707,0.8027556824667939
41,0.3327690809031265,-1.647445387034068,-2.504361941002159,5.729411877973956e-17,4.279609976793839,2.298320474649483
42,0.39613957539861655,-1.9630608170429018,-2.1892106705536056,5.729411877973956e-17,4.602166643110347,3.356906828078187
43,0.5026575523353322,-2.2246181267912823,-1.6189710993838147,5.729411877973956e-17,5.223374047056402,3.90235502368266
44,0.5271748912424353,-2.443713982113058,-1.0434840406011434,5.729411877973956e-17,5.6770858426760205,4.025410812805715
45,0.38730003031430876,-2.600280901596157,-1.6680105699531356,5.729411877973956e-17,5.888675464511281,3.8013421709715187
46,0.3001532016811589,-2.7010478147984935,-1.2713533588123875,5.729411877973956e-17,5.946841420732291,3.269318330912022
47,0.30620960286763516,-2.752791374182644,-0.807611359987519,5.729411877973956e-17,5.682017283243193,2.507176453611167
48,0.29290652511699355,-2.7899555861913203,1.896581339281802,5.729411877973956e-17,5.310858958524432,1.671391020110617
49,0.41527733637322356,-2.7727634097853806,0.025795377724777538,5.729411877973956e-17,5.08457133218623,0.8920939250774207
50,0.5299872085563868,-2.642157750440605,-0.6513570345938253,5.729411877973956e-17,4.7042147150033085,0.3009836396784903
51,0.5876630522252865,-2.4810810164665638,-0.5006899621980194,5.729411877973956e-17,4.122506994193925,-0.08383985221853102
52,0.6291243112147858,-2.3110920300461415,0.1497342398333778,5.729411877973956e-17,3.2417343718011096,-0.3793733038587674
53,1.1094704423109758,-2.1452072134269975,1.8387834721211984,5.729411877973956e-17,2.7327557676376673,-0.6935707069065977
54,1.347583864681011,-2.0077055943579794,1.5616859247934065,5.729411877973956e-17,2.2717046014864364,-0.9784755395246895
55,1.224903815213911,-1.8622700423882321,1.428422390451843,5.729411877973956e-17,1.7351311199305133,-1.208212778170696
56,0.9094633360766599,-1.7581744565854398,-0.20860498622048348,5.729411877973956e-17,1.5462819886794232,-1.4406782700441554
57,0.6456714728379522,-1.6991054313350527,-1.593828460893312,5.729411877973956e-17,1.2362850850574345,-1.6356085889809069
58,0.44500504739932817,-1.5634888670003426,-2.7873487550033995,5.729411877973956e-17,1.1190670543885015,-1.7490142668648077
59,0.4131185035803564,-1.477862045303306,-1.6455105511237935,5.729411877973956e-17,1.3729688215588993,-1.5474416635686385
60,0.4463236858079444,-1.4513996946659888,-3.881204536178148,5.729411877973956e-17,1.2799456711726582,-1.1576629696966674
61,0.3775327705973904,-1.4599898175058754,-2.0656870772489,5.729411877973956e-17,1.394765403597009,-0.603634755108331
62,0.32857977834831903,-1.506185589222599,-5.688076853644441,5.729411877973956e-17,1.4521800856691132,0.06994011724336752
63,0.40843325295151195,-1.5667698166961326,-5.93837068726614,5.729411877973956e-17,1.4482310805274317,0.7475977289654773
64,0.5129382641759593,-1.7021835586860121,-3.368574073621739,5.729411877973956e-17,2.0006872681288,1.2944968154205927
65,0.5071385890513377,-1.85082847599455,-6.2301158978586635,5.729411877973956e-17,2.3183317573178504,1.7769493547890522
66,0.3509791272451229,-1.9342123211722828,-3.6533729696763504,5.729411877973956e-17,2.3548841341780475,1.9350145135074979
67,0.2181992411173383,-2.013468135096403,-5.827720426882247,5.729411877973956e-17,2.346706804018809,2.025104712838059
68,0.07691238684901179,-2.0477570420989504,-5.724771515225179,5.729411877973956e-17,2.4342976644052743,1.9216094389040583
69,0.00933508574904286,-2.0617398531660993,-5.243437219798847,5.729411877973956e-17,2.0853597173983633,1.8363780368407636
70,0.023624224964534212,-2.0597354911701258,-3.535738643045099,5.729411877973956e-17,1.5445964377043155,1.7719796921079494
71,0.070430053787186,-2.0558818666183436,-4.202320576719043,5.729411877973956e-17,1.3548130296270227,1.7362135455572398
72,0.06706344156695805,-2.0119767943255895,-4.581536498096107,5.729411877973956e-17,1.0003753705813314,1.6060141675948116
73,0.003325362028358228,-1.90134317058355,-4.707400697386412,5.729411877973956e-17,0.4003673820422045,1.733359966209798
74,-0.12767494571611712,-1.6766995275943484,-4.657908206303751,5.729411877973956e-17,0.18960608811471136,1.8074807257125287
75,-0.2621002125130599,-1.3853511946081942,-3.857081193842662,5.729411877973956e-17,-0.41905118485668336,1.938393498511817
76,-0.3336859409878936,-1.0677314026033864,-3.7075466727302175,5.729411877973956e-17,-0.9638212600115594,1.8629760956907386
77,-0.37580068449847726,-0.7063735684721562,-4.870072813385789,5.729411877973956e-17,-0.7399030367583668,1.476595667764623
78,-0.34736243846486897,-0.37283818776122574,-3.484698331875186,5.729411877973956e-17,-0.5466811046918542,0.9360207301335686
79,-0.2999848106862682,-0.06207856330216083,-2.098946333270123,5.729411877973956e-17,-0.6452328622764494,0.49599590261677284
80,-0.21134430314778332,0.27952198829733027,-1.3175614511733154,5.729411877973956e-17,-0.7670741184771062,0.1740186396588555
81,0.0034653944257334902,0.5946840507118369,-1.2504766634891895,5.729411877973956e-17,-0.8915448341989324,0.2152075510167818
82,0.1410822329461853,0.898774399243823,-3.0363590305039563,5.729411877973956e-17,-0.8371641438820225,0.44086205029237713
83,0.2052054015775672,1.1411471013164571,-2.28351444074772,5.729411877973956e-17,-0.4105945348215704,1.010594591762413
84,0.16503944226378808,1.3378370528975276,0.39640390934833464,5.729411877973956e-17,0.26707401093067135,2.0445447221425077
85,0.13003134291999455,1.4891305914150306,1.6777346796279604,5.729411877973956e-17,0.620808554426746,3.305041095344273
86,0.09835484769708526,1.5561574110184793,3.895345595858063,5.729411877973956e-17,0.6308544382383889,4.427090667841258
87,0.2004034572842433,1.5809255985401522,2.1993878007417718,5.729411877973956e-17,0.7919545845792739,4.959239834020743
88,0.26924688464381313,1.5874278443008998,-0.34866382826218933,5.729411877973956e-17,0.9494139408139262,5.005991297012028
89,0.3311528736500879,1.561263761817745,3.527757200990126,5.729411877973956e-17,0.9725300684725487,4.722522894538426
90,0.4098160728755919,1.5440954468641384,2.8499252579015084,5.729411877973956e-17,0.8810865201429802,4.073087760990764
91,0.5497434459527343,1.5236939051194076,5.544264761005632,5.729411877973956e-17,0.6127660683455167,3.173901771481928
92,0.6786899452023736,1.4707334116662734,4.813051900761498,5.729411877973956e-17,0.13377100809928008,2.1164578138392782
93,0.7752247791428839,1.4064267976287887,3.1335160992538706,5.729411877973956e-17,-0.29912664090771995,1.1242894837693655
94,0.7860831246226838,1.3441364763134442,-5.36484058176296e-15,5.729411877973956e-17,-0.5721570037156277,0.37247737089683586
95,0.7677855580323277,1.2632580836306786,-5.36484058176296e-15,5.729411877973956e-17,-0.837048563243729,-0.05885175198687627
96,0.7190601184289914,1.1991423612118584,-5.36484058176296e-15,5.729411877973956e-17,-1.3624203546050775,-0.2932887201324706
97,0.6896999924459967,1.1457642923428961,-5.36484058176296e-15,5.729411877973956e-17,-1.6685549385641052,-0.6444284071647535
98,0.6888364593288496,1.0926009765449312,-5.36484058176296e-15,5.729411877973956e-17,-1.909636886603825,-1.0508320928768053
99,0.6943560696587211,0.998706161614504,-5.36484058176296e-15,5.729411877973956e-17,-2.156709764395071,-1.2688754404807605
100,0.7230277030212878,0.8459212823261874,-5.36484058176296e-15,5.729411877973956e-17,-2.21401849754874,-1.3417332983128327
101,0.8227424393188595,0.7077396118656779,-5.36484058176296e-15,5.729411877973956e-17,0.0,-1.3444085289510594
102,0.8567411384649071,0.6059227947606884,-5.36484058176296e-15,5.729411877973956e-17,0.0,-1.2797354308013467
103,0.8792980238087579,0.48105581470200337,-5.36484058176296e-15,5.729411877973956e-17,0.0,-0.9496216105149121
104,0.8669693381565188,0.34398370177497944,-5.36484058176296e-15,5.729411877973956e-17,0.0,-0.4845219185295461
105,0.847411479989786,0.20957214078308697,-5.36484058176296e-15,5.729411877973956e-17,0.0,-0.028223976355716055
106,0.7244338616782636,0.10637135944278249,-5.36484058176296e-15,5.729411877973956e-17,0.0,0.5496065605597636
107,0.5726095695074553,0.025886680723511538,-5.36484058176296e-15,5.729411877973956e-17,0.0,0.9738692183702492
108,0.3990160742280315,0.01056762832571363,-5.36484058176296e-15,5.729411877973956e-17,0.0,1.349047419263501
109,0.3002407219295184,0.010555697599547149,-5.36484058176296e-15,5.729411877973956e-17,0.0,1.7683837965113418
110,0.19113214564136227,0.021973402540896532,-5.36484058176296e-15,5.729411877973956e-17,0.0,2.098116818202425
111,0.17083328270518586,0.016831259563130977,-5.36484058176296e-15,5.729411877973956e-17,0.0,2.298643430420224
112,0.2186893545081515,0.023381228228544514,-5.36484058176296e-15,5.729411877973956e-17,0.0,2.3903291276629526
113,0.2954912897852103,0.0888689841565134,-5.36484058176296e-15,5.729411877973956e-17,0.0,2.3582697421226877
114,0.3033155999885481,0.13407450560141668,-5.36484058176296e-15,5.729411877973956e-17,0.0,2.2925217314822994
115,0.267076382484498,0.16070388640506522,-5.36484058176296e-15,5.729411877973956e-17,0.0,2.031640952019024
116,0.12282550913839706,0.15823422608859786,-5.36484058176296e-15,5.729411877973956e-17,0.0,1.7430052572135675
117,-0.013087601880657032,0.093354937195121,-5.36484058176296e-15,5.729411877973956e-17,0.0,1.6218486408318848
118,0.011808991436003889,0.1186003537634543,-5.36484058176296e-15,5.729411877973956e-17,0.0,1.6782935971807809
119,0.029260528958885087,0.1377610999868681,-5.36484058176296e-15,5.729411877973956e-17,0.0,1.830690159087416
120,-0.06106036734810213,0.19237996437714702,-5.36484058176296e-15,5.729411877973956e-17,0.0,1.9035383764487197
121,-0.09266101168909942,0.25434815608599587,-5.36484058176296e-15,5.729411877973956e-17,0.0,1.8271858479631082
122,-0.06628824351677512,0.29535406192028796,-5.36484058176296e-15,5.729411877973956e-17,0.0,1.6873701004092159
123,0.08080412055939708,0.32309300025742177,-5.36484058176296e-15,5.729411877973956e-17,0.0,1.4433119424367729
124,0.17156845279140548,0.3378393777992271,-5.36484058176296e-15,5.729411877973956e-17,0.0,0.9802753111958412
125,0.17083328270518586,0.3997956387819092,-5.36484058176296e-15,5.729411877973956e-17,0.0,0.22811614137564976
126,-0.05526069222348018,0.49000385932688517,-5.36484058176296e-15,5.729411877973956e-17,0.0,-0.5465149658056481
127,-0.20000167896039414,0.5723497313281317,-5.36484058176296e-15,5.729411877973956e-17,0.0,-1.2384019123818946
128,-0.21562696063417403,0.6417507654387156,-5.36484058176296e-15,5.729411877973956e-17,0.0,-1.9273967177276254
